time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-05T08:25:18.197Z,-16.3864,167.8638,206.409,4.8,mb,25,200,5.355,0.62,us,us6000nwp2,2024-10-05T09:00:03.005Z,"57 km ESE of Lakatoro, Vanuatu",earthquake,14.8,9.857,0.1,31,reviewed,us,us
2024-10-05T06:45:12.485Z,54.2938,-161.7133,31.075,4.9,mb,97,145,1.225,0.96,us,us6000nwnq,2024-10-05T19:12:35.077Z,"93 km SSE of King Cove, Alaska",earthquake,5.9,6.267,0.053,112,reviewed,us,us
2024-10-04T22:22:10.161Z,2.2567,128.3077,156.803,4.5,mb,34,109,1.749,0.51,us,us6000nwm9,2024-10-05T01:53:25.005Z,"67 km NNE of Tobelo, Indonesia",earthquake,12.03,6.845,0.113,23,reviewed,us,us
2024-10-04T21:21:11.974Z,4.9457,126.2526,102.506,4.7,mb,55,107,2.214,0.64,us,us6000nwls,2024-10-04T21:39:01.005Z,"101 km ESE of Sarangani, Philippines",earthquake,8.5,6.154,0.08,47,reviewed,us,us
2024-10-04T21:15:10.287Z,-19.8696,-175.1116,100.973,4.8,mb,20,217,1.506,0.53,us,us6000nwlr,2024-10-04T21:32:37.005Z,"79 km W of Pangai, Tonga",earthquake,15.13,10.553,0.128,19,reviewed,us,us
2024-10-04T14:48:06.319Z,9.958,126.4051,34.82,4.7,mb,42,116,2.984,0.66,us,us6000nwjp,2024-10-04T15:42:58.005Z,"35 km ENE of Pilar, Philippines",earthquake,11.78,5.107,0.097,32,reviewed,us,us
2024-10-04T13:58:58.685Z,-55.5383,-124.7457,10,5.3,mww,82,87,28.741,0.52,us,us6000nwkv,2024-10-04T20:32:49.005Z,"southern East Pacific Rise",earthquake,9.19,1.802,0.11,8,reviewed,us,us
2024-10-04T13:49:01.187Z,70.6291,-14.7306,10,5.2,mww,93,46,6.415,0.39,us,us6000nwja,2024-10-04T14:07:22.005Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.69,1.878,0.06,27,reviewed,us,us
2024-10-04T12:57:59.197Z,-20.3044,-69.9849,52.492,4.6,mb,17,86,0.141,0.76,us,us6000nwii,2024-10-05T01:33:30.402Z,"13 km ESE of Alto Hospicio, Chile",earthquake,5.45,5.937,0.206,7,reviewed,us,us
2024-10-04T11:47:46.121Z,70.7284,-14.8202,10,4.8,mb,37,61,6.492,0.83,us,us6000nwi9,2024-10-04T12:23:27.005Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.06,1.905,0.074,58,reviewed,us,us
2024-10-04T11:42:16.224Z,70.7049,-14.7924,10,5.1,mww,56,54,6.475,0.75,us,us6000nwi8,2024-10-04T15:49:52.005Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.63,1.858,0.103,9,reviewed,us,us
2024-10-04T08:58:49.536Z,70.7071,-14.7766,10,4.9,mww,41,64,6.479,1.04,us,us6000nwgt,2024-10-04T09:41:35.005Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.74,1.914,0.065,23,reviewed,us,us
2024-10-04T08:53:02.569Z,-5.4677,34.1883,9.822,4.7,mb,34,70,5.286,0.61,us,us6000nwgr,2024-10-04T15:38:02.403Z,"41 km NW of Itigi, Tanzania",earthquake,10.52,3.97,0.11,25,reviewed,us,us
2024-10-04T06:32:16.794Z,-4.8477,133.8305,10,4.6,mb,14,93,2.482,1.28,us,us6000nwic,2024-10-06T05:23:42.005Z,"147 km NE of Tual, Indonesia",earthquake,7.17,1.83,0.146,14,reviewed,us,us
2024-10-04T05:57:19.704Z,37.9049,33.2863,10,4.5,mb,50,65,1.998,0.78,us,us6000nwgc,2024-10-04T07:12:30.005Z,"31 km NW of Karapınar, Turkey",earthquake,5.1,1.891,0.104,27,reviewed,us,us
2024-10-04T03:24:52.321Z,70.6423,-14.3397,10,4.5,mb,32,72,6.486,0.91,us,us6000nwfs,2024-10-04T03:44:47.005Z,"208 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.82,1.684,0.127,18,reviewed,us,us
2024-10-04T03:06:29.685Z,52.1423,178.0008,171.635,4.5,mb,117,88,0.399,0.74,us,us6000nwfn,2024-10-04T03:51:40.005Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.74,5.366,0.056,94,reviewed,us,us
2024-10-03T20:53:43.674Z,2.7903,128.1927,157.794,4.8,mb,51,123,2.168,0.82,us,us6000nwdx,2024-10-03T21:08:24.005Z,"119 km N of Tobelo, Indonesia",earthquake,9.29,7.775,0.08,48,reviewed,us,us
2024-10-03T20:10:01.902Z,70.7292,-14.7572,10,4.6,mb,33,62,6.502,0.35,us,us6000nwdn,2024-10-03T20:38:45.005Z,"222 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.52,1.918,0.111,24,reviewed,us,us
2024-10-03T20:05:13.256Z,5.6965,126.1575,110.731,4.8,mb,51,83,1.48,0.81,us,us6000nwde,2024-10-03T20:24:07.005Z,"62 km ESE of Caburan, Philippines",earthquake,9.54,6.742,0.081,47,reviewed,us,us
2024-10-03T19:30:49.870Z,-17.7647,-178.3819,533.187,4.5,mb,65,33,3.446,0.9,us,us6000nwd5,2024-10-03T19:48:08.005Z,"246 km E of Levuka, Fiji",earthquake,11.68,8.26,0.043,161,reviewed,us,us
2024-10-03T17:39:44.449Z,-37.214,52.1688,10,4.9,mb,64,44,24.104,0.39,us,us6000nwc7,2024-10-03T18:01:24.005Z,"South Indian Ocean",earthquake,8.56,1.859,0.07,63,reviewed,us,us
2024-10-03T16:15:38.942Z,12.7422,143.3985,91.368,4.6,mb,64,48,1.661,0.52,us,us6000nwbq,2024-10-03T16:57:04.005Z,"149 km WSW of Merizo Village, Guam",earthquake,9.11,6.101,0.056,96,reviewed,us,us
2024-10-03T14:42:18.381Z,-22.7305,-176.8602,167.346,4.9,mb,45,83,2.221,0.61,us,us6000nwau,2024-10-03T15:14:16.005Z,"236 km SW of Houma, Tonga",earthquake,14.54,6.962,0.085,43,reviewed,us,us
2024-10-03T13:54:20.796Z,51.0014,-176.2227,38.918,4.5,mb,49,195,0.928,0.81,us,us6000nwa7,2024-10-03T18:32:08.088Z,"101 km SSE of Adak, Alaska",earthquake,6.19,7.717,0.054,103,reviewed,us,us
2024-10-03T13:08:40.592Z,51.3378,-177.0247,35,5.1,mb,84,145,0.522,0.64,us,us6000nw9t,2024-10-10T13:18:45.433Z,"65 km SSW of Adak, Alaska",earthquake,3.84,1.68,0.028,402,reviewed,us,us
2024-10-03T13:08:06.252Z,-28.4632,-176.3346,10,5.3,mb,46,111,1.601,0.86,us,us6000nw9u,2024-10-03T13:26:31.005Z,"Kermadec Islands region",earthquake,9.66,1.88,0.083,49,reviewed,us,us
2024-10-03T10:43:14.082Z,-0.9923,148.4357,10,5.4,mb,64,79,1.494,0.63,us,us6000nw94,2024-10-08T16:40:55.046Z,"173 km NE of Lorengau, Papua New Guinea",earthquake,6.12,1.828,0.069,72,reviewed,us,us
2024-10-03T10:03:09.081Z,-3.3762,131.0098,10,4.7,mb,29,69,1.318,0.64,us,us6000nw8x,2024-10-03T14:50:13.005Z,"151 km WSW of Fakfak, Indonesia",earthquake,6.74,1.5,0.1,30,reviewed,us,us
